"celex","date","dateforce","dateendvalid","lbs","lbcelex","lbsuffix","force","datetranspos"
"31997L0077","1997-12-16","1998-02-05","2008-12-20","a811ac5d-2d67-4dcd-bf4b-04dbcfbc927e","11992E043",NA,"false","1998-12-31"
"32011L0003","2011-01-17","2011-02-07","2012-11-30","d5592f1d-052b-4267-91e8-97a4ffe1cfaa","32008R1333","A30P5","false","2011-09-01"
"32011L0045","2011-04-13","2011-06-01","2011-06-13","c2514307-b9a4-4a7b-9f36-a9f3662df21b","31991L0414","A06P1","true","2011-11-30"
"32007L0072","2007-12-13","2008-01-03","9999-12-31","8124de30-ce08-4cbe-9814-d4e602698b57","31966L0401","A02P1PTA)","true","2008-12-31"
"32013L0046","2013-08-28","2013-09-18","2020-02-21","e64ff938-4502-4a74-a1d4-9a0760f29459","32009L0039","A04P1","false","2014-02-28"
"32006L0026","2006-03-02","2006-03-27","2010-02-18","ae7325fd-64de-4843-97f0-300dab9bd6fe","31978L0933","A05","false","2006-12-31"
"32003L0040","2003-05-16","2003-06-11","9999-12-31","0b796810-b550-43d7-bd07-058eb90293b5","31980L0777","A11P1","true","2003-12-31"
"32014L0105","2014-12-04","2014-12-25","9999-12-31","1364812d-2692-4cf9-9b03-3d79c9aeb7f1","32002L0055","A07P2PTB)","true","2015-12-31"
"31978L0388","1978-04-18","1978-04-21","2002-08-08","6dfa8784-1125-46e1-936f-0ce00125c856","31969L0208","A20PTA","false","1980-07-01"
"31974L0409","1974-07-22","1974-07-23","2003-07-31","51fd33b3-06d4-4283-b44e-6027f3f4b82f","11957E100",NA,"false","1975-07-23"
"31969L0463","1969-12-09","1969-12-15","2006-12-31","51fd33b3-06d4-4283-b44e-6027f3f4b82f","11957E100",NA,"false","1987-01-01"
"31981L0933","1981-11-17","1981-11-19","2006-11-06","0b35ab4b-ea09-47e8-b302-b321e5587ffe","11957E099",NA,"false","1982-01-01"
"31984L0513","1984-10-23","1984-07-01","9999-12-31","5013e763-b28e-492b-827e-9cb15cc00430","11957E043",NA,"true",NA
"32004L0063","2004-04-26","2004-05-10","2011-06-13","c2514307-b9a4-4a7b-9f36-a9f3662df21b","31991L0414","A05P1","false",NA
"32004L0065","2004-04-26","2004-05-18","2011-06-23","8fa91a26-ad32-4a85-8fd0-6a3dac8cff01","32000L0012","A60P1TIRE5","false",NA
"31990L0643","1990-11-26","1990-12-03","1991-05-18","de2f6bfa-e0e7-4383-af1f-3406fa00a4f1","31970L0524","A07","false",NA
"32014L0041","2014-04-03","2014-05-21","9999-12-31","0aa0f425-b51f-45a4-860d-89879f1cd5f2","12012E082","P1PTA)","true","2017-05-22"
"31991L0328","1991-06-21","1991-07-01","1998-03-09","100e56a9-af68-4606-b14f-1a18f03bb3c2","11957E075",NA,"false","1993-07-01"
"32009L0107","2009-09-16","2009-10-26","2013-08-31","391c41d5-94d8-4fa4-8986-578eafd01513","12006E095",NA,"false","2010-05-14"
"32017L0952","2017-05-29","2017-06-27","9999-12-31","5e97a6a5-a0f0-44a0-8a7c-42818affb7de","12016E115",NA,"true","2021-12-31"
"32010L0072","2010-11-04","2010-11-25","2013-08-31","dd121338-803b-4793-b8bd-6db66b18104a","31998L0008","A16P2L2","false","2011-10-31"
"32012L0015","2012-05-08","2012-05-29","2013-08-31","dd121338-803b-4793-b8bd-6db66b18104a","31998L0008","A16P2L2","false","2013-04-30"
"32013L0006","2013-02-20","2013-03-13","2013-08-31","dd121338-803b-4793-b8bd-6db66b18104a","31998L0008","A16P2L2","false","2014-01-31"
"31987L0566","1987-11-24","1987-11-26","2003-12-10","f50d807c-6175-4480-9a31-6d7b13dc1213","31976L0116","A09P2","false","1988-10-31"
"32009L0001","2009-01-07","2009-02-03","9999-12-31","dcdff433-7132-4c59-909f-b38e83dec390","32005L0064","A06P2L2","true","2010-02-03"
"31986L0081","1986-02-25","1986-03-01","1997-01-01","fb5c1ee8-86ec-455d-8822-3eeb0338953b","11985I396",NA,"false",NA
"31974L0149","1974-03-04","1974-03-07","2007-01-15","100e56a9-af68-4606-b14f-1a18f03bb3c2","11957E075","P1","false",NA
"31998L0004","1998-02-16","1998-04-21","2004-04-29","1c1b5920-90b7-413a-b9f2-4ad20efc6d18","11992E057","P2","false","1999-02-16"
"32013L0023","2013-05-13","2013-07-01","9999-12-31","725c7341-4691-4449-97b1-17fcbfba93df","12012J003","P4","true","2013-07-01"
"32013L0018","2013-05-13","2013-07-01","2021-06-30","725c7341-4691-4449-97b1-17fcbfba93df","12012J003","P4","false","2013-07-01"
"31991L0684","1991-12-19","1991-12-23","2005-12-31","a4c755eb-3d8b-408c-aa39-47643e0e5633","31989L0437","A10","false","1991-12-31"
